Scripps_ID,shipment,received,Sample_ID,Collection date,Species,Sample type,Address,Country,State,County,City,Zip,Latitude,Longitude,PCR CT,cDNA,PCR,Library prep,Sequenced,# of Reads,% CDS covered,Mean coverage depth,Seq. complete?,gap primers,BioSample Accession,Nucleotide Accession
W0001,1,yes,208-0677,2007-10-02,American Crow,Bilateral ocular sample,12133 Rockcrest Rd,USA,CA,San_Diego,Lakeside,92040,32.846109,-116.930427,17.8,yes,yes,yes,yes,83234,100.00%,1530.2,Y,,SAMN10498877,MH507608
W0002,1,yes,208-0953,2007-10-02,American Crow,Bilateral ocular sample,807 S Mollison Avenue,USA,CA,San_Diego,El_Cajon,92020,32.785812,-116.95004,30.9,yes,yes,yes,yes,761106,100.00%,6057.7,Y,,SAMN10498878,MH507609
W0003,1,yes,209-0632,2008-08-18,American Crow,Bilateral ocular sample,664 Ecken Rd.,USA,CA,San_Diego,El_Cajon,92020,32.783557,-116.969562,22.5,yes,yes,yes,yes,244597,100.00%,4156.0,Y,,SAMN10498879,MH507610
W0004,1,yes,209-2652,2009-05-13,American Crow,Bilateral ocular sample,11480 N Torrey Pines Rd,USA,CA,San_Diego,La_Jolla,92037,32.904429,-117.243433,24.8,yes,yes,yes,yes,73988,100.00%,1312.5,Y,,SAMN10498880,MH507611
W0005,1,yes,W12-0618,2012-10-29,American Crow,Bilateral ocular sample,6315 Hartley Dr.,USA,CA,San_Diego,San_Diego,92037,32.828063,-117.258286,29.9,yes,yes,yes,yes,264190,100.00%,4195.7,Y,,SAMN10498881,MH507612
W0006,1,yes,W13-0060,2013-07-10,American Crow,Bilateral ocular sample,11437 Rocoso Rd,USA,CA,San_Diego,Lakeside,92040,32.884864,-116.9462,25.6,yes,yes,yes,yes,48985,100.00%,709.4,Y,,SAMN10498882,MH507613
W0007,1,yes,W13-0064,2013-07-23,American Crow,Bilateral ocular sample,2928 Levante St.,USA,CA,San_Diego,Carlsbad,92009,33.080931,-117.247137,30.9,yes,yes,yes,yes,58258,100.00%,1116.9,Y,,SAMN10498883,MH507614
W0008,1,yes,W14-0111,2014-10-07,American Crow,Bilateral ocular sample,1704 Rachael Ave.,USA,CA,San_Diego,National_City,91950,32.677111,-117.071316,18.0,yes,yes,yes,yes,411996,100.00%,5242.2,Y,,SAMN10498884,MH507615
W0009,1,yes,15-B-0414-B,2015-10-02,American Crow,Bilateral ocular sample,8865 Spectrum Center Blvd,USA,CA,San_Diego,San_Diego,92123,32.826815,-117.1420345,20.9,yes,yes,yes,yes,440685,100.00%,5942.2,Y,,SAMN10498885,MH507616
W0010,1,yes,16-B-0935-B,2016-08-15,American Crow,Bilateral ocular sample,621 Del Mar Ave,USA,CA,San_Diego,Chula_Vista,91910,32.630931,-117.072848,18.7,yes,yes,yes,yes,54065,100.00%,773.5,Y,,SAMN10498886,MH507617
W0011,1,yes,209-1616 T,2008-12-08,Sharp-shinned hawk,"BIC, brain, heart, spleen, kidney",16608 Wikiup Rd,USA,CA,San_Diego,Ramona,92065,33.015797,-116.801537,22.7,yes,yes,yes,yes,27186,100.00%,351.8,Y,,SAMN10498887,MH507618
W0012,1,yes,W14-0125 T,2014-10-28,Hawk,"BIC, brain, heart, spleen, kidney",12068 Pastoral Rd.,USA,CA,San_Diego,San_Diego,92128,33.015998,-117.069955,23.5,yes,yes,yes,yes,617540,100.00%,6330.8,Y,,SAMN10498888,MH507619
W0013,1,yes,16-B-0830-B,2016-06-30,Hawk,"BIC, brain, heart, spleen, kidney",12912 Camino Del Valle,USA,CA,San_Diego,Poway,92064,33.014608,-117.053081,19.6,yes,yes,yes,yes,81991,100.00%,1408.7,Y,,SAMN10498889,MH507620
W0014,1,yes,M14-0148,2014-10-31,Culex quinquefasciatus,whole mosquito bodies,5797 CHESAPEAKE CT,USA,CA,San_Diego,San_Diego,92123,32.838836,-117.129057,28.5,yes,yes,yes,yes,690715,100.00%,6078.2,Y,,SAMN10498890,MH507621
W0015,1,yes,15-Q-0217,2015-08-21,Culex quinquefasciatus,whole mosquito bodies,W 32nd St,USA,CA,San_Diego,National_City,91950,32.6524776,-117.1072096,20.9,yes,yes,yes,yes,675619,100.00%,6291.0,Y,,SAMN10498891,
W0016,1,yes,16-Q-0503,2016-05-16,Culex tarsalis,whole mosquito bodies,Carmel Valley Rd,USA,CA,San_Diego,Del_Mar,92037,x,x,19.5,yes,yes,yes,yes,312167,100.00%,4541.2,Y,,,
W0017,2,yes,208-0907,2007-03-19,Jaybird,Bilateral ocular sample,5820 Meade Ave,USA,CA,San_Diego,San_Diego,92115,32.756999,-117.07222,,yes,yes,yes,yes,788464,99.45%,6341.0,Y,,SAMN10498892,MH507622
W0018,2,yes,208-0945,2007-03-19,American Crow,Bilateral ocular sample,753 Sherwood Drive,USA,CA,San_Diego,Oceanside,92054,33.238742,-117.335044,,yes,yes,yes,yes,224660,98.39%,3997.8,Y,,SAMN10498893,MH507623
W0019,2,yes,208-0953,2007-10-02,American Crow,Bilateral ocular sample,807 S Mollison Avenue,USA,CA,San_Diego,El_Cajon,92020,32.785812,-116.95004,30.9,yes,yes,yes,yes,482093,100.00%,5372.0,,,SAMN10498894,MH507624
W0020,2,yes,208-0943,2007-10-02,American Crow,Bilateral ocular sample,4244 Half Moon Bay Way,USA,CA,San_Diego,Oceanside,92056,33.2457967,-117.3280785,17.2,yes,yes,yes,yes,397248,100.00%,5350.7,Y,,SAMN10498895,MH507625
W0021,2,yes,208-1201,2007-10-25,Hawk,"BIC, brain, heart, spleen, kidney",,USA,CA,San_Diego,,,x,x,,yes,yes,yes,yes,673406,97.77%,5965.4,Y,,,
W0022,2,yes,208-2252,2008-02-06,American Crow,Bilateral ocular sample,9204 Bellagio Rd.,USA,CA,San_Diego,Santee,92071,32.855393,-117.004284,,yes,yes,yes,yes,173884,100.00%,3255.4,Y,,SAMN10498896,MH507626
W0023,2,yes,208-2284,2008-02-06,American Crow,Bilateral ocular sample,1809 S. Juniper St.,USA,CA,San_Diego,Escondido,92025,33.105135,-117.0673,,yes,yes,yes,yes,26374,74.33%,282.9,,,SAMN10498897,
W0024,2,yes,208-2407,2008-03-19,Sharp-shinned hawk,"BIC, brain, heart, spleen, kidney",6306 Peach Way,USA,CA,San_Diego,San_Diego,92130,32.960657,-117.18156,33.8,yes,yes,yes,yes,,,,,,,
W0025,2,yes,208-2568,2008-04-16,American Crow,Bilateral ocular sample,5th and Huffstatler,USA,CA,San_Diego,Fallbrook,92028,33.41392,-117.150864,,yes,yes,yes,yes,384186,89.12%,3035.8,,,SAMN10498898,
W0026,2,yes,208-2824,2008-05-14,American Crow,Bilateral ocular sample,10077 Parkdale Ave.,USA,CA,San_Diego,San_Diego,92126,32.900555,-117.158334,,yes,yes,yes,yes,88378,100.00%,1750.1,,,SAMN10498899,MH507627
W0027,2,yes,208-2826,2008-05-14,Western Scrub Jay,Bilateral ocular sample,17171 Matinal Rd.,USA,CA,San_Diego,San_Diego,92127,33.02847,-117.092001,,yes,yes,yes,yes,147104,92.69%,2271.0,,,SAMN10498900,
W0028,2,yes,208-3179,2008-06-11,American Crow,Bilateral ocular sample,13390 Pantera Rd.,USA,CA,San_Diego,San_Diego,92130,32.95817,-117.240614,,yes,yes,yes,yes,93883,100.00%,1683.4,,,SAMN10498901,MH507628
W0029,2,yes,208-3183,2008-06-11,American Crow,Bilateral ocular sample,361 Santa Helena,USA,CA,San_Diego,Solana_Beach,92075,32.99937,-117.255385,,yes,yes,yes,yes,161401,100.00%,2990.8,,,SAMN10498902,MH507629
W0030,2,yes,208-3351b,2008-06-25,Sharp-shinned hawk,"BIC, brain, heart, spleen, kidney",2314 Edgerton Dr,USA,CA,San_Diego,Lemon_Grove,91945,32.730377,-117.031928,20.8,yes,yes,yes,yes,255676,100.00%,4275.9,Y,,SAMN10498903,MH507630
W0031,2,yes,208-0941,2008-09-15,American Crow,Bilateral ocular sample,12712 Rife Way,USA,CA,San_Diego,San_Diego,92129,32.95785,-117.139592,,yes,yes,yes,yes,10680,100.00%,224.6,Y,,SAMN10498904,MH507631
W0032,2,yes,208-3343,2008-06-25,Coopers Hawk,"BIC, brain, heart, spleen, kidney",819 Capistrano Pl,USA,CA,San_Diego,San_Diego,92109,32.763412,-117.250691,28.7,yes,yes,yes,yes,109137,99.12%,2092.1,Y,,SAMN10498905,MH507632
W0033,2,yes,209-0513b,2008-08-07,American Crow,Bilateral ocular sample,9255 N. Magnolia Ave,USA,CA,San_Diego,Santee,92071,32.844039,-116.969135,,yes,yes,yes,yes,165965,100.00%,3324.4,Y,,SAMN10498906,MH507633
W0034,2,yes,209-0526b,2008-08-07,Western Scrub Jay,Bilateral ocular sample,2460 Cranston Dr.,USA,CA,San_Diego,Escondido,92025,33.090546,-117.069999,,yes,yes,yes,yes,103294,100.00%,2324.2,Y,,SAMN10498907,MH507634
W0035,2,yes,209-0945b,2008-09-18,American Crow,Bilateral ocular sample,1359 San Elijo,USA,CA,San_Diego,Cardiff,92007,33.032305,-117.289329,,yes,yes,yes,yes,12089,98.62%,249.6,Y,,SAMN10498908,MH507635
W0036,2,yes,209-0946b,2008-09-18,American Crow,Bilateral ocular sample,2138 Kelly Ave.,USA,CA,San_Diego,Ramona,92065,33.029847,-116.885515,,yes,yes,yes,yes,112447,100.00%,2520.0,Y,,SAMN10498909,MH507636
