not using,entry complete,accession,length,host,country,state,county,city,isolation,collection_date,latitude,longitude,name,notes,remove
,x,AF196835,11029,Gallus gallus,USA,New York,Bronx,,lab isolate,9/16/1999,,,"West Nile virus strain NY99-flamingo382-99, complete genome",,
,x,AF206518,10975,Culex pipiens,USA,Connecticut,Fairfield,,pooled insects,9/5/1999,,,"West Nile virus isolate 2741, complete genome",,
,,AF404753,11029,Corvus,USA,Maryland,Baltimore,,,2000,,,"West Nile virus isolate WN MD 2000-crow265, complete genome",,
,,AF404754,11029,Culex pipiens,USA,New Jersey,Bergen,,,2000,,,"West Nile virus isolate WN NJ 2000 MQ5488, complete genome",,
,,AF404755,11029,Bonasa umbellus,USA,New York,Oswego,,,2000,,,"West Nile virus isolate WN NY 2000-grouse3282, complete genome",,
,,AF404756,11029,Corvus,USA,New York,Rockland,,,2000,,,"West Nile virus isolate WN NY 2000-crow3356, complete genome",,
,,AF533540,11029,Homo sapiens,USA,New York,Nassua,,cerebrospinal fluid,09/17/01,,,"West Nile virus polyprotein precursor, gene, complete cds",,
,,AY646354,11030,Homo sapiens,USA,New York,Madison,,blood,2002,,,"West Nile virus from USA, complete genome",,
x,x,AY660002,11029,,Mexico,Tabasco,Centro,Villahermosa,,5/5/2003,,,"West Nile virus isolate Mex03 from Mexico, complete genome",,
,x,AY712945,11029,Zenaida macroura,USA,Texas,Harris,,,2003,,,"West Nile virus isolate Bird 1153, complete genome",,
,x,AY712946,11029,Cyanocitta cristata,USA,Texas,Harris,,,2003,,,"West Nile virus isolate Bird 1171, complete genome",,
,x,AY712947,11029,Aves,USA,Texas,Harris,,,2003,,,"West Nile virus isolate Bird 1461, complete genome",,
,x,AY712948,11029,Culex quinquefasciatus,USA,Texas,Harris,,,2003,,,"West Nile virus isolate Mosquito v4369, complete genome",,
,,AY795965,11029,,USA,Michigan,Isabella,,,,,,"West Nile virus isolate ARC10, complete genome","Direct submission, no citation",
x,x,AY842931,11029,Nyctea scadiaca,USA,New York,Bronx,Bronx,,1999,,,"West Nile virus strain 385-99, complete genome",,
,x,DQ005530,11029,,USA,Utah,Sanpete,,,2003,,,"West Nile virus isolate FDA-BSL5-2003, complete genome",,
